iso2c,country,year,status,lastupdated,agrid_land_km,agrid_land_per,arable_per,rural_below_5,rural_below_5_per,urban_below_5,urban_below_5_per,land_below_5_per,forest_km,forest_per,irrigated_land_per,avg_precip_mm,cereal_yield,pop_growth,pop_tot,urban_pop_growth,urban_pop,urban_pop_per,for_invest_per,ease_business,cpia_public_sec,school_enroll,school_complete,mort_rate,health_workers,underweight_5_per,pov_headcount,elec_access_per,coal_power_per,hydro_power_per,gas_power_per,nuke_power_per,oil_power_per,renew_power_per,renew_non_hydro,renew_non_hydro_per,renew_consum_per,energy_use_oil_eqiv,elec_consum_kw,energy_use_oil_percap,co2_intensity,co2_gaseous_kt,co2_gaseous_per,co2_emissions,co2_emissions_met,co2_liquid_kt,co2_liquid_per,co2_emmision_mt,co2_emission_ppp,co2_emission_2017,co2_solid_kt,co2_solid_per,other_greenhouse_mt,other_greenhouse_per,total_greenhouse_mt,total_greenhouse_per,hfc_emissions_mt,methane_mt,methane_per,no_emission_mt,no_emission_per,pfc_emission_mt,sf6_emission_mt,disaster_risk_score,ghg_emission_mt,dro_flood_extemp_per,rural_pop_below_5,urban_pop_below_5,pop_below_5_per,pop_agglo_mil_per,water_withdrawals_cub,water_withdrawals_per,terr_protect_per,marine_protect_per,terr_mari_protect_per,agri_forest_fish_gdp_per,iso3c,region,capital,longitude,latitude,income,lending
1A,Arab World,2010,,4/8/2022,4091617,36.42554503,3.370784886,66515.09894,0.495648841,10786.18462,0.080323568,0.575972409,392164,2.859551987,NA,NA,2242.412748,2.38321483,354890097,3.171267291,200303097,56.44088052,3.028841972,NA,2.66,0.926810026,84.36582947,42.96973593,NA,NA,NA,86.06507159,1.235532796,3.547523256,61.76026609,0,22.8497384,3.854009912,2515000000,0.285971377,4.786074275,124.4038321,2301.342047,1784.99981,2.555722361,617752.9564,39.05065432,0.755567779,1533835.683,890519.949,58.17584427,4.322001927,0.293025976,0.328427947,NA,1.449762054,7008.092667,921.8140563,2143440,139.3640307,NA,456950,83.26829015,107800,64.23721146,NA,8828.254273,NA,NA,NA,3.746134356,3.973869274,7.72000363,22.91191037,NA,NA,NA,NA,NA,6.877555656,ARB,Aggregates,,,,Aggregates,Aggregates
1W,World,2010,,4/8/2022,46774506.6,36.72134385,10.53359571,1153481.996,0.99500614,135735.1372,0.116238339,1.111244479,40156729.7,30.86996409,NA,NA,3592.828556,1.203308033,6921854591,2.187096098,3573943037,51.64626717,2.845880507,NA,3.109090909,0.971449971,88.92006683,51.2,NA,16.20508194,15.9,83.2999176,40.10961909,15.88130247,22.39044292,12.79410116,3.812396947,19.56099755,7.65E+11,3.552995335,17.14963995,130.5282436,2958.343199,1874.657688,2.467056502,6348233.053,20.35719526,0.480391671,31031799.04,9986727.157,32.25263482,4.483162516,0.347629254,0.322707669,14171057.36,44.33387287,-750161.841,18.90040228,41817500,33.16302371,834345.5748,7704390,17.20672787,2741480,4.466382457,78622.3086,174905.3855,NA,NA,NA,2.155575626,2.80874426,4.964319886,22.30162776,NA,NA,NA,NA,NA,3.875876522,WLD,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2010,,4/8/2022,7753474.3,48.61066485,12.14163414,234825.3139,1.610119725,37564.2771,0.262123486,1.872243212,4803434.153,30.11529009,NA,NA,4913.318237,0.713976687,1965954326,3.109120349,936189731,47.62011591,3.802947638,NA,3.218181818,0.99357003,96.05261993,23.05272608,NA,NA,NA,95.04764361,70.64862206,16.33820156,7.685680067,1.518822972,1.358059631,18.4175153,94270000000,1.938000021,15.69938924,188.7620474,2331.378972,1621.11529,3.049161923,447585.5421,4.614152542,1.039886103,9644902.02,1587779.523,16.46237069,4.905964443,0.564485518,0.576438983,6966020.377,72.05226674,-301900.6395,-63.8885202,12270650,100.0009126,231385.7265,1740430,47.00344475,675550,39.96003973,9986.71529,62643.64722,NA,NA,NA,3.996595786,4.138679326,8.135275112,NA,NA,NA,NA,NA,NA,10.32470099,EAP,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2010,,4/8/2022,6359311,28.12321834,10.59629628,144634.8431,0.776915536,3722.277066,0.020001345,0.796916881,8887922.541,39.30567104,NA,NA,2220.654541,0.514750661,398060162,0.788389633,260267578,65.67695444,2.832708337,NA,3.244444444,0.979250014,97.93582916,18.04921475,NA,NA,NA,99.93291397,23.87697386,18.71851406,40.65597821,15.39126595,0.85844706,19.03504478,5942000000,0.316530713,6.020625713,167.7146096,4105.188502,3012.909614,2.399115554,1376033.135,47.753808,1.100731894,2877298.232,620540.741,21.55600661,7.228299907,0.468255826,0.402365704,916538.8157,31.46576467,-188127.9691,-38.71743979,4316660,-28.01896326,44821.58169,1243750,-7.232987725,170770,-31.60354216,24339.58192,14286.99252,NA,NA,NA,0.451233844,1.016284462,1.467518306,21.04218982,NA,NA,NA,NA,NA,5.942848655,ECA,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2010,,4/8/2022,2692409,56.42597825,43.06071137,69492.12075,1.666008578,4979.988357,0.118615854,1.784624432,874582.7204,18.3290078,NA,NA,2802.583644,1.434921628,1638792927,2.645396419,505032835,30.81736726,1.538201137,NA,3.2125,0.97082001,87.38960266,61.9,NA,34.72211075,26.7,73.19362596,57.83797858,14.43712991,15.5371502,2.606161414,5.629505306,18.17933246,34168000000,2.999640342,42.97621562,125.3433033,570.9088741,515.1969762,2.261575173,222556.8675,11.40410689,0.941252647,1884320,509867.014,27.05840908,1.149821902,0.286759038,0.282070204,1118891.328,59.31883146,-182442.35,175.6195877,3145000,94.18044233,16736.12465,914350,27.08269966,330490,41.58797246,2169.151351,7588.893877,NA,NA,NA,1.934794634,1.146417075,3.081211708,13.94602468,NA,NA,NA,NA,NA,17.5081347,SAS,Aggregates,,,,Aggregates,Aggregates
AD,Andorra,2010,,4/8/2022,197.7,42.06382979,1.638297872,NA,NA,NA,NA,NA,160,34.04255319,NA,NA,NA,-0.008288192,84454,-0.113252559,75011,88.819,NA,NA,NA,NA,NA,4.5,NA,NA,NA,100,NA,NA,NA,NA,NA,88.73114463,NA,NA,18.67090034,NA,NA,NA,NA,0,0,0.177608895,520,517.047,99.43211538,6.157198001,NA,NA,0,0,NA,NA,630,NA,NA,50,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AE,United Arab Emirates,2010,,4/8/2022,3923,5.523796114,0.712475359,2611.439453,3.299635627,1198.020996,1.513737091,4.813372718,3173,4.467755562,19.37292888,NA,18069.8,7.687222167,8549998,8.098362718,7189437,84.087,3.035594892,NA,NA,NA,NA,8.7,NA,NA,NA,100,0,0,98.52140635,0,1.478593648,0,0,0,0.109399997,131.372439,10609.944,7215.21046,2.639324163,116962.632,71.83554355,0.584884429,162820,28331.242,17.40034517,19.04327931,0.293502508,0.346734453,2478.892,1.522473898,-6551.572876,68.43971631,208580,166.3875175,0,38550,88.20667353,5430,124.7292924,384,1038,NA,NA,NA,1.618829257,13.16580722,14.78463648,43.12336681,NA,NA,NA,NA,NA,0.763452742,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AF,Afghanistan,2010,,4/8/2022,379110,58.06911129,11.93670925,NA,NA,NA,NA,NA,12084.4,1.850994088,5.001186991,NA,2011.1,2.746614638,29185511,3.630998735,6927765,23.737,1.203117228,NA,2.4,0.625810027,NA,87.8,NA,NA,NA,42.7,NA,NA,NA,NA,NA,85.98654709,NA,NA,14.89900017,NA,NA,NA,NA,271.358,3.129850058,0.542728701,8670,5870.867,67.71472895,0.297065212,0.173663908,0.15179397,2299.209,26.51913495,2581.595875,118.125,44910,42.01234411,NA,30010,76.90145498,5990,22.13668127,NA,NA,NA,NA,NA,NA,NA,NA,11.26930757,NA,NA,NA,NA,NA,26.21006854,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AG,Antigua and Barbuda,2010,,4/8/2022,90,20.45454545,9.090909091,32.37356186,7.456981483,24.97379875,5.752507421,13.2094889,87.8,19.95454545,NA,NA,1585.9,1.472794154,88030,-0.716137659,23097,26.238,8.416401826,NA,NA,0.971769989,106.6099472,10,NA,NA,NA,98.60040283,NA,NA,NA,NA,NA,1.494768311,NA,NA,0,NA,NA,NA,NA,0,0,0.397965793,490,524.381,107.0165306,5.566284221,0.270057922,0.305738722,0,0,478.3754325,748754.9618,1040,NA,NA,190,19.47041463,20,51.49853666,NA,NA,NA,NA,NA,3.190235403,8.639313095,11.8295485,NA,NA,NA,NA,NA,NA,1.633408459,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AL,Albania,2010,,4/8/2022,12013,43.84306569,22.84671533,1294.595459,4.562271722,84.84497833,0.299001393,4.861273115,7820.7,28.54270073,17.02322484,NA,4761.8,-0.496461963,2913021,1.609373264,1519519,52.163,9.138134146,NA,NA,1.005689979,88.83624268,13.3,NA,NA,NA,100,0,99.98678647,0,0,0.013213531,99.98678647,0,0,37.11370087,67.83158435,1943.343354,729.1543727,2.156266213,25.669,0.560458515,0.439531796,4580,3494.651,76.30242358,1.572250938,0.163287604,0.146262954,429.039,9.367663755,809.1348,-75.0142799,9130,-23.44818626,105,3120,1.782909822,1130,-27.98139343,0,0,NA,NA,NA,4.688154109,2.382806577,7.070960686,NA,NA,NA,NA,NA,NA,17.9558664,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
