iso2c,life_exp,pop_tot,pop_grow,gdp,gdp_per_cap,gdp_grow,unemployment,inflation,pers_remit,co2_emis,forest_area,elec_access,elec_prod_renew,sanitation,int_homic,internet_use,women_parlia,foreign_invest,fertility_rate,labor_force_fe,lab_for_part_m,lab_for_part_f,urb_pop,research_exp,res_in_rd,tech_in_rd,charge_int_prop,hi_tech_exports,trdmk_res,trdmk_nres,pat_res,pat_nres,region,income
AD,NA,84454,-0.008288192290815,3449966856.68832,40850.2481432297,-1.97495799965345,NA,NA,NA,6.1571980012788,34.0425531914894,100,NA,86.45028444,0,81,35.7142857142857,NA,1.27,NA,NA,NA,88.819,NA,NA,NA,NA,19545650,259,689,NA,NA,Europe & Central Asia,High income
AE,76.332,8549998,7.68722216681039,289787338325.391,33893.2638727391,1.60285004825521,2.48099994659424,0.877983288285896,NA,19.0432793083694,4.46775556181357,100,0,81.71197912,0.7836259143,68,22.5,3.03559489239051,1.819,11.4909921407298,89.125,41.976001739502,84.087,NA,NA,NA,NA,NA,NA,NA,25,1263,Middle East & North Africa,High income
AF,61.028,29185511,2.74661463795293,15856678596.148,543.306526178281,14.3624414692681,11.3520002365112,2.1785375238942,2.38515685819586,0.297065211570221,1.85099408755323,42.7000007629395,NA,NA,3.3681096075,4,27.710843373494,1.20311722800728,5.977,15.7850319147431,76.8420028686523,15.1110000610352,23.737,NA,NA,NA,626710.87,NA,NA,NA,NA,NA,South Asia,Low income
AG,75.823,88030,1.47279415442432,1148700000,13048.9605816199,-7.84059474412172,NA,3.3700254022015,1.75830649139607,5.5662842212882,19.9545454545455,98.5972366333008,NA,NA,6.8158582301,47,10.5263157894737,8.41640182621901,1.988,NA,NA,NA,26.238,NA,NA,NA,0,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
AL,76.562,2913021,-0.49646196338738,11926922828.9911,4094.34838574494,3.70693815038592,14.0900001525879,3.62604695579817,13.302461113439,1.57225093811545,28.542700729927,100,0,44.29658365,4.3079630492,45,16.4285714285714,9.13813414575857,1.66,42.610831709991,63.7879981994629,46.7270011901855,52.163,NA,NA,NA,739036.184704184,14074208,286,3079,NA,NA,Europe & Central Asia,Upper middle income
AM,73.331,2877314,-0.373954889662394,9260284937.79781,3218.37829927419,2.2000000002151,19.0100002288818,8.17636138473956,18.0268407541102,1.50835119142367,11.610818405339,99.8000030517578,0.107841626867971,53.90871358,1.9462596018,25,9.16030534351145,5.71603784546004,1.722,45.7065744528318,67.6149978637695,46.9339981079102,63.44,0.24139,NA,NA,NA,4727601,1266,3042,136,6,Europe & Central Asia,Upper middle income
AO,55.35,23356247,3.67149333263444,83799496611.2004,3587.88364462837,4.40393254343761,9.43000030517578,14.4696564932576,0.0214464736982655,1.22151474078862,57.8792010908799,34.895637512207,0,NA,NA,2.8,38.6363636363636,-3.85111046361424,6.194,49.7608765512312,78.9720001220703,75.6050033569336,59.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Lower middle income
AR,75.278,40788453,0.752217992640236,423627422092.49,10385.9644319555,10.1253981561002,7.71000003814697,NA,0.152091367663287,4.12224508735352,11.0403443575999,98.8199996948242,1.77227114151825,49.97256189,5.8294564636,45,38.5214007782101,2.67516171886537,2.346,41.4637191328645,73.6009979248047,47.875,90.849,0.56104,1123.83311,247.45846,152187821.078051,1686223636,68974,19454,552,4165,Latin America & Caribbean,Upper middle income
AS,NA,56084,-1.04826295347074,573000000,10216.8176306968,0.299850074962521,NA,NA,NA,NA,87.15,NA,NA,NA,8.9151986306,NA,NA,NA,NA,NA,NA,NA,87.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
AT,80.5804878048781,8363404,0.240394299500766,392275107258.667,46903.7615854343,1.83709367680054,4.82000017166138,1.81353438995065,0.760560226838844,8.36501501063443,46.7864020055467,100,9.74033620867312,99.6449621,0.68965968267,75.17,27.8688524590164,-5.61017631479874,1.44,46.3529494782367,67.088996887207,54.1510009765625,57.399,2.7261,4349.71722,NA,925872141.125541,15801880396,5913,4249,2424,249,Europe & Central Asia,High income
AU,81.6951219512195,22031750,1.55548958906995,1147589183475.73,52087.9722888891,2.17233709101625,5.21000003814697,2.91834002677376,0.162468659359851,17.5814449601144,16.862931674108,100,3.26774879181163,64.59036915,1.042668759,76,24.6666666666667,3.06823506617928,1.928,45.0740939124137,72.3050003051758,58.564998626709,85.182,2.37586,4532.40149,NA,978059795.188932,4554403979,39641,19272,2409,22478,East Asia & Pacific,High income
AW,75.017,101665,0.20973141399036,2390502793.29609,23513.527696809,-3.68502938723299,NA,2.07814071860782,0.2079925216172,NA,2.33333333333333,93.3562927246094,NA,NA,3.9344907294,62,NA,7.81257303108204,1.768,NA,NA,NA,43.059,NA,NA,NA,0,703388,NA,NA,NA,NA,Latin America & Caribbean,High income
AZ,70.938,9054332,1.18978770786007,52909294791.9262,5843.5337683582,5.04894456694235,5.63000011444092,5.72687224669606,2.66549763240316,2.66723155280809,12.4914657133178,99.9437942504883,0.00534473543559594,24.60805925,2.2806620341,46,16,6.337255132933,1.92,49.3124613387178,67.8379974365234,61.9669990539551,53.406,0.21848,NA,NA,149000,7200494,1532,2880,254,17,Europe & Central Asia,Upper middle income
BA,76.031,3705478,-0.818853335966774,17176781045.5967,4635.5101947972,0.865669260237084,27.3099994659424,1.99621236745889,10.6091172856387,5.62410571591573,41.067578125,100,0,24.79573784,1.5112760081,42.75,16.6666666666667,2.58395450180469,1.315,38.3712834378182,55.9410018920898,32.9990005493164,45.558,NA,NA,NA,15124105.3121197,74424233,298,3945,56,9,Europe & Central Asia,Upper middle income
BB,78.364,282131,0.363612230788636,4530000000,16056.3709766031,-2.28645383951682,10.6899995803833,5.82421853311865,1.80725819403974,5.63567987920505,14.6511627906977,100,NA,NA,10.987803538,65.1,10,9.3893446486755,1.687,49.0616835320486,71.8259963989258,61.9220008850098,31.87,NA,NA,NA,3431865.74,NA,135,1061,NA,88,Latin America & Caribbean,High income
BD,69.881,147575433,1.1248068966134,115279077465.226,781.153577677298,5.57178818839131,3.38000011444092,8.12667639169919,9.41212564836714,0.342739973529334,14.5067376507644,55.2599983215332,0,28.42291983,2.7023468059,3.7,18.5507246376812,1.06893486111064,2.324,26.2040684662479,83.3000030517578,30.4740009307861,30.462,NA,NA,NA,516648.067296503,37560243,7857,2374,66,276,South Asia,Lower middle income
BE,80.1829268292683,10895586,0.913639391631709,481420882905.001,44184.946353964,2.86429270764155,8.28999996185303,2.18929920422458,2.28358794989032,9.77184705806553,22.7830250990753,100,6.58830049129837,80.01221709,1.7278049061,75,39.3333333333333,26.0669819962462,1.86,45.2562777741472,60.7789993286133,47.701000213623,97.651,2.06188,3732.83127,1316.48045,2480222841.12554,18056971678,20850,4821,620,140,Europe & Central Asia,High income
BF,57.096,15605211,3.01921284414061,10109618964.2848,647.836095537879,8.44628157707625,3.64499998092651,-0.764230734676734,1.19156013261199,0.133929621329696,24.5486111111111,13.1000003814697,NA,NA,0.78819824993,2.4,15.3153153153153,0.384492249354512,5.867,43.8511902151151,80.2249984741211,58.9749984741211,24.633,NA,47.57672,37.13021,448671.330590269,2902764,34,NA,2,NA,Sub-Saharan Africa,Low income
BG,73.5121951219512,7395599,-0.658275446635908,50682061053.2016,6853.00285388669,1.54180144307578,10.2799997329712,2.43899060504117,2.62994434776602,6.06441750019167,34.4233603537214,100,1.58854336440881,53.13918148,1.9932630403,46.23,20.8333333333333,3.63619782168189,1.57,46.2729465070191,59.4249992370605,47.757999420166,72.302,0.56663,1478.65161,498.85468,18320000,852616282,4308,2613,243,17,Europe & Central Asia,Upper middle income
BH,76.057,1240864,4.60018474525212,25713271276.5957,20722.0704900745,4.33429917283131,1.12999999523163,1.96188468334624,NA,20.9370245248472,0.68241469816273,100,0,80.31126813,0.88647909843,55,2.5,0.605800045797767,2.164,21.0467520037275,87.2160034179688,43.6230010986328,88.634,NA,NA,NA,NA,964226.000000002,NA,NA,NA,NA,Middle East & North Africa,High income
BI,57.228,8675606,3.25619646076404,2032135246.50004,234.235538877634,5.12416330338039,1.60800004005432,6.49326591473996,1.6976689702367,0.0368850314318101,7.55218068535826,5.30000019073486,NA,NA,3.9997205959,1,32.0754716981132,0.0384119120504574,6.179,51.7486528953088,79.7990036010742,81.6110000610352,10.642,0.13719,NA,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Low income
BJ,59.318,9199254,2.80597623284658,9535344283.47295,1036.53451502404,2.11406472648392,1.03999996185303,2.20783532536522,1.46370300155765,0.552218690776448,32.2379389854558,34.2000007629395,0.869565217391304,NA,NA,3.13,10.8433734939759,0.561144790845935,5.362,49.1805605837277,74.7529983520508,69.1070022583008,43.093,NA,NA,NA,2021.0420296859,NA,NA,NA,NA,NA,Sub-Saharan Africa,Lower middle income
